DATE,LREM64TTUSM156S
2006-11-01,72.1774681817845
2006-12-01,72.3230899221974
2007-01-01,72.1390541727651
2007-02-01,71.9759910517562
2007-03-01,72.0196073054062
2007-04-01,71.7060586045287
2007-05-01,71.7553413957996
2007-06-01,71.7690040745058
2007-07-01,71.7335893974307
2007-08-01,71.5674084679621
2007-09-01,71.6962018763238
2007-10-01,71.5786617622468
2007-11-01,71.774180190133
2007-12-01,71.550804676071
2008-01-01,71.6796286653796
2008-02-01,71.4368319812973
2008-03-01,71.4078058089221
2008-04-01,71.4286610622898
2008-05-01,71.2049869415095
2008-06-01,71.1266748306177
2008-07-01,70.9375981406031
2008-08-01,70.7175388561332
2008-09-01,70.5399231039711
2008-10-01,70.3919940716272
2008-11-01,69.9418687138786
2008-12-01,69.5575455755844
2009-01-01,69.0252835520709
2009-02-01,68.7248550471867
2009-03-01,68.215482992479
2009-04-01,68.1219063750753
2009-05-01,67.766620433471
2009-06-01,67.8105578093461
2009-07-01,67.700393385093
2009-08-01,67.3274089001646
2009-09-01,66.8806193899214
2009-10-01,66.602670531989
2009-11-01,66.6702059231974
2009-12-01,66.4101478560067
2010-01-01,66.7498091869048
2010-02-01,66.7086222729513
2010-03-01,66.73568272074
2010-04-01,66.870177071508
2010-05-01,66.7571830996047
2010-06-01,66.751977117544
2010-07-01,66.7322199383252
2010-08-01,66.7823367631658
2010-09-01,66.6588902609491
2010-10-01,66.4573499755789
2010-11-01,66.367463186601
2010-12-01,66.4930900985333
2011-01-01,66.6796109136985
2011-02-01,66.597658538926
2011-03-01,66.6904144040868
2011-04-01,66.542211720185
2011-05-01,66.5393300591562
2011-06-01,66.414179583604
2011-07-01,66.4012938387339
2011-08-01,66.6663641055145
2011-09-01,66.6858666264579
2011-10-01,66.664130840399
2011-11-01,66.8152440240215
2011-12-01,66.8528846969534
2012-01-01,66.9277611784755
2012-02-01,66.9643283599742
2012-03-01,66.9918339467663
2012-04-01,66.9263593636887
2012-05-01,67.0663690687224
2012-06-01,67.1289356021461
2012-07-01,67.0483124635614
2012-08-01,67.0046169858048
2012-09-01,67.3105928052968
2012-10-01,67.4941638561093
2012-11-01,67.276050431682
2012-12-01,67.2931000487287
2013-01-01,67.2582002515041
2013-02-01,67.2409623250307
2013-03-01,67.1832889009645
2013-04-01,67.2771541810833
2013-05-01,67.3471011203147
2013-06-01,67.3653764825664
2013-07-01,67.4909400153682
2013-08-01,67.4184380989407
2013-09-01,67.4673832859359
2013-10-01,67.1268613111887
2013-11-01,67.4395696707631
2013-12-01,67.5356654082652
2014-01-01,67.7109613543313
2014-02-01,67.6824143098451
2014-03-01,67.9251727890936
2014-04-01,67.9474879850321
2014-05-01,68.0348031739385
2014-06-01,68.1560745212357
2014-07-01,68.1735197788365
2014-08-01,68.2298615021398
2014-09-01,68.2799973306531
2014-10-01,68.5698851520879
2014-11-01,68.5067083209578
2014-12-01,68.4785265953845
2015-01-01,68.5417334132053
2015-02-01,68.5325482962647
2015-03-01,68.4402422621902
2015-04-01,68.6975601785396
2015-05-01,68.8062888835328
2015-06-01,68.6886568129875
2015-07-01,68.6381264825984
2015-08-01,68.7623142827419
2015-09-01,68.650705025745
2015-10-01,68.7130217629894
2015-11-01,68.8627648834291
2015-12-01,69.074883673333
2016-01-01,69.1837083959006
2016-02-01,69.2578427546086
2016-03-01,69.2988926502107
2016-04-01,69.1900799441856
2016-05-01,69.3010924511328
2016-06-01,69.2015618765958
2016-07-01,69.2857249010873
2016-08-01,69.390545672834
2016-09-01,69.4245025136641
2016-10-01,69.4083238906719
2016-11-01,69.5350265377458
2016-12-01,69.5555935100044
2017-01-01,69.6414276397624
2017-02-01,69.7100405554121
2017-03-01,70.032978835026
2017-04-01,70.1079324304295
2017-05-01,70.0254090327396
2017-06-01,70.100209806872
2017-07-01,70.1748920002364
2017-08-01,70.158173122575
2017-09-01,70.4723319559134
2017-10-01,70.2379882616269
2017-11-01,70.274266314168
2017-12-01,70.2684521162335
2018-01-01,70.3145712633881
2018-02-01,70.5942920139703
2018-03-01,70.5854303336549
2018-04-01,70.5983476100963
2018-05-01,70.7568842353318
2018-06-01,70.6989308065469
2018-07-01,70.8626876072292
2018-08-01,70.5778476401602
2018-09-01,70.7607030431344
2018-10-01,70.8971128266407
2018-11-01,70.9612035521502
2018-12-01,70.9798322943984
2019-01-01,71.0088015432586
2019-02-01,71.0331688324879
2019-03-01,71.1164289111886
2019-04-01,71.1716022838502
2019-05-01,71.1740963904007
2019-06-01,71.2433302547161
2019-07-01,71.2601180558563
2019-08-01,71.4284943286065
2019-09-01,71.7136210061614
2019-10-01,71.6772093683247
2019-11-01,71.6654757314464
2019-12-01,71.6770617451119
2020-01-01,71.7602251270921
2020-02-01,71.7765614817479
2020-03-01,70.6226155728298
2020-04-01,60.336253516119
2020-05-01,62.2863149307995
2020-06-01,64.7691102543556
2020-07-01,65.378146106358
2020-08-01,66.8447162169922
2020-09-01,66.9167944345387
2020-10-01,67.8203039459815
2020-11-01,67.748464970651
2020-12-01,67.8953338912439
2021-01-01,68.1662488744835
2021-02-01,68.3861922179074
2021-03-01,68.6899164539273
2021-04-01,68.7498578039662
2021-05-01,69.0231496251706
2021-06-01,69.0919202807987
2021-07-01,69.6474303922205
2021-08-01,69.6734766510904
2021-09-01,69.9411759739538
2021-10-01,70.1111228437252
2021-11-01,70.564776423532
2021-12-01,70.7781758046836
2022-01-01,70.7279427154108
2022-02-01,70.8714572019229
