Date,M1Supply
2017-09-25,3599.2
2017-10-02,3706.2
2017-10-09,3490.8
2017-10-16,3497.7
2017-10-23,3615.3
2017-10-30,3765.2
2017-11-06,3551.0
2017-11-13,3478.8
2017-11-20,3588.4
2017-11-27,3732.3
2017-12-04,3678.2
2017-12-11,3505.5
2017-12-18,3592.0
2017-12-25,3746.1
2018-01-01,3825.9
2018-01-08,3587.5
2018-01-15,3568.6
2018-01-22,3630.1
2018-01-29,3754.9
2018-02-05,3602.5
2018-02-12,3455.6
2018-02-19,3538.6
2018-02-26,3676.0
2018-03-05,3653.0
2018-03-12,3555.3
2018-03-19,3638.5
2018-03-26,3775.9
2018-04-02,3883.4
2018-04-09,3583.6
2018-04-16,3606.2
2018-04-23,3738.1
2018-04-30,3832.1
2018-05-07,3548.7
2018-05-14,3536.6
2018-05-21,3655.4
2018-05-28,3789.2
2018-06-04,3743.6
2018-06-11,3519.9
2018-06-18,3601.8
2018-06-25,3716.8
2018-07-02,3828.6
2018-07-09,3576.2
2018-07-16,3572.2
2018-07-23,3674.4
2018-07-30,3845.5
2018-08-06,3634.5
2018-08-13,3563.5
2018-08-20,3656.5
2018-08-27,3804.8
2018-09-03,3911.2
2018-09-10,3559.3
2018-09-17,3560.3
2018-09-24,3682.9
2018-10-01,3808.7
2018-10-08,3591.7
2018-10-15,3608.7
2018-10-22,3737.2
2018-10-29,3890.6
2018-11-05,3709.4
2018-11-12,3547.4
2018-11-19,3634.9
2018-11-26,3765.0
2018-12-03,3888.3
2018-12-10,3644.5
2018-12-17,3662.1
2018-12-24,3878.3
2018-12-31,3997.8
2019-01-07,3705.0
2019-01-14,3620.6
2019-01-21,3725.9
2019-01-28,3864.2
2019-02-04,3817.6
2019-02-11,3605.0
2019-02-18,3659.5
2019-02-25,3760.6
2019-03-04,3793.1
2019-03-11,3619.4
2019-03-18,3678.3
2019-03-25,3813.5
2019-04-01,3945.6
2019-04-08,3690.9
2019-04-15,3734.6
2019-04-22,3862.5
2019-04-29,3986.0
2019-05-06,3716.7
2019-05-13,3642.0
2019-05-20,3767.0
2019-05-27,3918.4
2019-06-03,4001.2
2019-06-10,3696.4
2019-06-17,3750.9
2019-06-24,3852.4
2019-07-01,3977.7
2019-07-08,3757.9
2019-07-15,3732.3
2019-07-22,3862.3
2019-07-29,4034.5
2019-08-05,3892.7
2019-08-12,3727.3
2019-08-19,3794.0
2019-08-26,3919.8
2019-09-02,4054.4
2019-09-09,3770.2
2019-09-16,3753.5
2019-09-23,3873.8
2019-09-30,4063.8
2019-10-07,3806.6
2019-10-14,3798.1
2019-10-21,3909.8
2019-10-28,4078.5
2019-11-04,4021.9
2019-11-11,3793.6
2019-11-18,3846.3
2019-11-25,4003.1
2019-12-02,4100.4
2019-12-09,3870.5
2019-12-16,3926.3
2019-12-23,4113.7
2019-12-30,4247.0
2020-01-06,3991.5
2020-01-13,3847.1
2020-01-20,3943.5
2020-01-27,4060.2
2020-02-03,4156.3
2020-02-10,3839.0
2020-02-17,3857.4
2020-02-24,3948.5
2020-03-02,4082.4
2020-03-09,3944.4
2020-03-16,4060.1
2020-03-23,4378.8
2020-03-30,4776.7
2020-04-06,4611.4
2020-04-13,4625.0
2020-04-20,4883.7
2020-04-27,5113.2
2020-05-04,15944.7
2020-05-11,16076.6
2020-05-18,16212.6
2020-05-25,16184.0
2020-06-01,16331.1
2020-06-08,16452.6
2020-06-15,16553.3
2020-06-22,16551.1
2020-06-29,16615.0
2020-07-06,16808.8
2020-07-13,16822.5
2020-07-20,16744.8
2020-07-27,16623.8
2020-08-03,16751.6
2020-08-10,16826.1
2020-08-17,16910.2
2020-08-24,16817.4
2020-08-31,16948.7
2020-09-07,17096.5
2020-09-14,17184.8
2020-09-21,17148.1
2020-09-28,17104.0
2020-10-05,17256.7
2020-10-12,17274.0
2020-10-19,17337.6
2020-10-26,17283.6
2020-11-02,17484.2
2020-11-09,17563.0
2020-11-16,17655.0
2020-11-23,17640.4
2020-11-30,17734.9
2020-12-07,17851.3
2020-12-14,17912.5
2020-12-21,17972.1
2020-12-28,18004.4
2021-01-04,18076.5
2021-01-11,18133.1
2021-01-18,18111.2
2021-01-25,18000.5
2021-02-01,18115.9
2021-02-08,18149.8
2021-02-15,18270.0
2021-02-22,18289.1
2021-03-01,18388.8
2021-03-08,18495.1
2021-03-15,18631.1
2021-03-22,18818.6
2021-03-29,18899.6
2021-04-05,19115.4
2021-04-12,19121.8
2021-04-19,19123.3
2021-04-26,18978.8
2021-05-03,19111.7
2021-05-10,19199.9
2021-05-17,19264.8
2021-05-24,19093.5
2021-05-31,19145.5
2021-06-07,19292.7
2021-06-14,19382.4
2021-06-21,19288.2
2021-06-28,19242.9
2021-07-05,19426.3
2021-07-12,19427.2
2021-07-19,19469.0
2021-07-26,19427.7
2021-08-02,19563.7
2021-08-09,19626.9
2021-08-16,19704.2
2021-08-23,19683.3
2021-08-30,19724.0
2021-09-06,19868.7
2021-09-13,19917.1
2021-09-20,19877.3
2021-09-27,19789.4
2021-10-04,19963.2
2021-10-11,19987.6
2021-10-18,20070.6
2021-10-25,19964.7
2021-11-01,20113.6
2021-11-08,20187.6
2021-11-15,20268.2
2021-11-22,20297.2
2021-11-29,20324.5
2021-12-06,20478.1
2021-12-13,20529.6
2021-12-20,20654.7
2021-12-27,20688.6
2022-01-03,20656.4
2022-01-10,20655.4
2022-01-17,20645.7
2022-01-24,20470.5
2022-01-31,20463.3
2022-02-07,20510.2
2022-02-14,20542.0
2022-02-21,20550.1
2022-02-28,20640.9
