DATE,CSCICP03USM665S
2006-11-01,100.753485681664
2006-12-01,100.878734135973
2007-01-01,100.913453562054
2007-02-01,100.671368140139
2007-03-01,100.376452817509
2007-04-01,100.187631567666
2007-05-01,100.12218864655
2007-06-01,100.078053536743
2007-07-01,100.052969689175
2007-08-01,99.8043150814596
2007-09-01,99.5275208029566
2007-10-01,99.2079917090674
2007-11-01,98.8979006997359
2007-12-01,98.7154556871159
2008-01-01,98.5400873225553
2008-02-01,98.1180310989232
2008-03-01,97.6091997815881
2008-04-01,97.0356427683342
2008-05-01,96.62384110106
2008-06-01,96.4943410106597
2008-07-01,96.7148620029267
2008-08-01,96.9942404572929
2008-09-01,97.0768119169075
2008-10-01,96.6936213651518
2008-11-01,96.4150171745938
2008-12-01,96.4069100575338
2009-01-01,96.414736100438
2009-02-01,96.3864671633458
2009-03-01,96.6057001725028
2009-04-01,97.0922122900575
2009-05-01,97.5108327553934
2009-06-01,97.6841486013878
2009-07-01,97.6350616508363
2009-08-01,97.6824928564858
2009-09-01,97.875565969238
2009-10-01,97.9077448773541
2009-11-01,97.9229783275161
2009-12-01,98.1120169502928
2010-01-01,98.2872442884129
2010-02-01,98.3469729114824
2010-03-01,98.3436162937936
2010-04-01,98.3214763108637
2010-05-01,98.3200998571243
2010-06-01,98.2170720381668
2010-07-01,97.9087394151658
2010-08-01,97.7206894650102
2010-09-01,97.6656234292954
2010-10-01,97.7723216000159
2010-11-01,98.051035959938
2010-12-01,98.3227395866352
2011-01-01,98.4400212094728
2011-02-01,98.3868856493288
2011-03-01,98.1230407406096
2011-04-01,98.0597788980073
2011-05-01,98.0427735203298
2011-06-01,97.7099819892273
2011-07-01,97.0851228740701
2011-08-01,96.5517738816823
2011-09-01,96.4790131376849
2011-10-01,96.729929374972
2011-11-01,97.208370624517
2011-12-01,97.800185253819
2012-01-01,98.3047162389231
2012-02-01,98.5859946679535
2012-03-01,98.7215434935041
2012-04-01,98.759530558754
2012-05-01,98.6985141373574
2012-06-01,98.4750768382918
2012-07-01,98.3963460936715
2012-08-01,98.5819918698318
2012-09-01,98.9276630465084
2012-10-01,99.1755513416551
2012-11-01,99.0811395367236
2012-12-01,98.7161640386186
2013-01-01,98.5758371696789
2013-02-01,98.6883951309902
2013-03-01,98.8707192367647
2013-04-01,99.1025763848882
2013-05-01,99.4723998016345
2013-06-01,99.6636012224661
2013-07-01,99.6223967642483
2013-08-01,99.3153635642225
2013-09-01,98.8987490887126
2013-10-01,98.6411897816843
2013-11-01,98.7510432280053
2013-12-01,99.0830966033712
2014-01-01,99.2721124439134
2014-02-01,99.348751164452
2014-03-01,99.3840189123175
2014-04-01,99.463870787008
2014-05-01,99.4489753315414
2014-06-01,99.4200925447695
2014-07-01,99.4111386657687
2014-08-01,99.5149318709058
2014-09-01,99.7384203322518
2014-10-01,100.052614833031
2014-11-01,100.438120492304
2014-12-01,100.865583420308
2015-01-01,101.15358427512
2015-02-01,101.156078616994
2015-03-01,101.050867880754
2015-04-01,100.991221937596
2015-05-01,100.903638190154
2015-06-01,100.918991582081
2015-07-01,100.793973122943
2015-08-01,100.587502688938
2015-09-01,100.401432930559
2015-10-01,100.43329388602
2015-11-01,100.560269942335
2015-12-01,100.66603246122
2016-01-01,100.680300028424
2016-02-01,100.639612240471
2016-03-01,100.596199227166
2016-04-01,100.6202379844
2016-05-01,100.753591992115
2016-06-01,100.729562756092
2016-07-01,100.56973344802
2016-08-01,100.454272320936
2016-09-01,100.433395040582
2016-10-01,100.517204842394
2016-11-01,100.875916602541
2016-12-01,101.243627634154
2017-01-01,101.405097940411
2017-02-01,101.391700525069
2017-03-01,101.358382541359
2017-04-01,101.315232036249
2017-05-01,101.23765884445
2017-06-01,101.122355578572
2017-07-01,101.077681305975
2017-08-01,101.18275511367
2017-09-01,101.314352135078
2017-10-01,101.477386234005
2017-11-01,101.455534737398
2017-12-01,101.365591499161
2018-01-01,101.397487725681
2018-02-01,101.571162602793
2018-03-01,101.67904609917
2018-04-01,101.62480349116
2018-05-01,101.53323011224
2018-06-01,101.471421349758
2018-07-01,101.437862143462
2018-08-01,101.449856718078
2018-09-01,101.53865633446
2018-10-01,101.51968646914
2018-11-01,101.403356114861
2018-12-01,101.221870370151
2019-01-01,101.004645458078
2019-02-01,101.062278351339
2019-03-01,101.294227245869
2019-04-01,101.464251278851
2019-05-01,101.55774394643
2019-06-01,101.457983250151
2019-07-01,101.211332610742
2019-08-01,100.89641283352
2019-09-01,100.896373717891
2019-10-01,101.112112120372
2019-11-01,101.397867561878
2019-12-01,101.640124981372
2020-01-01,101.638395599989
2020-02-01,101.183221627764
2020-03-01,100.121958070264
2020-04-01,98.9676725213977
2020-05-01,98.4359610000969
2020-06-01,98.3830195857229
2020-07-01,98.4014083646123
2020-08-01,98.616000977287
2020-09-01,98.9482086768265
2020-10-01,99.1063554769757
2020-11-01,99.0605310106858
2020-12-01,99.0637905206495
2021-01-01,99.070265558195
2021-02-01,99.2187029051806
2021-03-01,99.6082112906177
2021-04-01,99.8679933726096
2021-05-01,99.8054866418751
2021-06-01,99.5821378314189
2021-07-01,99.0841434546261
2021-08-01,98.478871226989
2021-09-01,98.162003585798
2021-10-01,97.9664670474486
2021-11-01,97.799561974855
2021-12-01,97.6975837802615
2022-01-01,97.4418771407337
2022-02-01,97.0707497143164
