1162339200000,0.64
1162425600000,0.61
1162512000000,0.64
1162771200000,0.55
1162857600000,0.57
1162944000000,0.68
1163030400000,0.61
1163116800000,0.79
1163376000000,0.59
1163462400000,0.58
1163548800000,0.52
1163635200000,0.53
1163721600000,0.47
1163980800000,0.54
1164067200000,0.62
1164153600000,0.63
1164326400000,0.52
1164585600000,0.68
1164672000000,0.65
1164758400000,0.53
1164844800000,0.58
1164931200000,0.59
1165190400000,0.64
1165276800000,0.57
1165363200000,0.54
1165449600000,0.69
1165536000000,0.55
1165795200000,0.57
1165881600000,0.7
1165968000000,0.57
1166054400000,0.45
1166140800000,0.5
1166400000000,0.59
1166486400000,0.67
1166572800000,0.54
1166659200000,0.45
1166745600000,0.66
1167091200000,0.62
1167177600000,0.68
1167264000000,0.73
1167350400000,0.54
1167782400000,0.59
1167868800000,0.51
1167955200000,0.59
1168214400000,0.71
1168300800000,0.67
1168387200000,0.58
1168473600000,0.54
1168560000000,0.56
1168905600000,0.56
1168992000000,0.55
1169078400000,0.6
1169164800000,0.55
1169424000000,0.62
1169510400000,0.65
1169596800000,0.58
1169683200000,0.71
1169769600000,0.66
1170028800000,0.6
1170115200000,0.68
1170201600000,0.56
1170288000000,0.57
1170374400000,0.7
1170633600000,0.57
1170720000000,0.55
1170806400000,0.65
1170892800000,0.57
1170979200000,0.68
1171238400000,0.78
1171324800000,0.74
1171411200000,0.67
1171497600000,0.54
1171584000000,0.55
1171929600000,0.65
1172016000000,0.71
1172102400000,0.66
1172188800000,0.73
1172448000000,0.75
1172534400000,0.87
1172620800000,0.73
1172707200000,0.8
1172793600000,0.8
1173052800000,0.96
1173139200000,0.77
1173225600000,0.7
1173312000000,0.77
1173398400000,0.82
1173657600000,0.75
1173744000000,0.98
1173830400000,0.89
1173916800000,0.79
1174003200000,0.84
1174262400000,0.61
1174348800000,0.73
1174435200000,0.66
1174521600000,0.61
1174608000000,0.65
1174867200000,0.69
1174953600000,0.62
1175040000000,0.89
1175126400000,0.76
1175212800000,0.67
1175472000000,0.63
1175558400000,0.66
1175644800000,0.74
1175731200000,0.55
1176076800000,0.61
1176163200000,0.69
1176249600000,0.69
1176336000000,0.73
1176422400000,0.67
1176681600000,0.56
1176768000000,0.67
1176854400000,0.54
